CustomerID,OrderID,OrderDate,OrderAmount,OrderStatus,PaymentMethod,City,State
CUST1310,46685257,2025-05-11,64.55,delivered,credit_card,Mumbai,MH
CUST1519,1A3D1FA7,2025-02-23,144.76,invoiced,net_banking,Indore,
CUST0458,16419F82,2025-05-18,78.37,delivered,UPI,,MH
CUST0210,17FC695A,2025-05-01,341.58,cancelled,net_banking,Bangalore,TN
CUST1828,06CB0FB3,2025-02-18,277.23,delivered,debit_card,Kolkata,WB
CUST1210,B38A088C,2025-04-25,216.74,invoiced,debit_card,Lucknow,GJ
CUST0062,96DA1DAC,2025-04-22,55.91,returned,cash,,DL
CUST0477,C241330B,2025-03-02,257.62,shipped,credit_card,Ahmedabad,RJ
CUST0055,571AA876,2025-06-12,285.01,returned,credit_card,Chennai,GJ
CUST1467,C37459EE,2025-03-01,328.44,cancelled,,Indore,AP
CUST1117,18C26797,2025-03-13,215.56,returned,cash,Delhi,
CUST0920,43B7A3A6,2025-03-17,298.74,invoiced,debit_card,Kolkata,UP
CUST1658,89463E85,2025-06-12,435.96,returned,debit_card,Chennai,AP
CUST1555,142C3FE8,2025-01-31,404.85,cancelled,credit_card,Lucknow,DL
CUST1430,9E574F7A,2025-04-24,217.08,invoiced,cash,Jaipur,MH
CUST0570,3139D32C,2025-06-27,86.18,cancelled,UPI,Delhi,GJ
CUST1961,3A578A8E,2025-05-23,384.11,invoiced,UPI,Delhi,WB
CUST0210,DAF61A26,2025-06-06,55.45,cancelled,debit_card,Delhi,DL
CUST0199,47294739,2025-02-21,185.9,invoiced,net_banking,,WB
CUST0705,29A3B2E9,2025-04-05,305.83,invoiced,credit_card,Chennai,MH
CUST1653,4458A885,2025-03-19,31.29,shipped,credit_card,,TN
CUST0941,12476F57,2025-05-23,272.75,cancelled,net_banking,Delhi,DL
CUST1993,BAA80DD4,2025-05-05,461.92,returned,net_banking,Mumbai,MP
CUST0162,451B4CF3,2025-02-23,280.5,invoiced,cash,Jaipur,KA
CUST1699,3838B326,2025-07-05,318.03,shipped,credit_card,Indore,GJ
CUST1814,C6A7EE39,2025-05-19,432.24,returned,net_banking,,AP
CUST1183,CE177B4E,2025-01-17,104.22,cancelled,UPI,Kolkata,RJ
CUST0143,3602F8AC,2025-03-09,32.45,shipped,debit_card,Mumbai,DL
CUST0467,B7C93ACF,2025-07-03,388.8,shipped,,Jaipur,DL
CUST0164,654821D0,2025-03-09,429.11,shipped,credit_card,Bangalore,AP
CUST1775,24933B83,2025-06-27,59.49,delivered,net_banking,Lucknow,AP
CUST0570,8FB5D27B,2025-02-27,232.17,cancelled,net_banking,Jaipur,AP
CUST1709,6DADD6C7,2025-04-21,188.77,invoiced,,Delhi,TN
CUST0759,382567B8,2025-06-30,184.08,shipped,credit_card,Jaipur,KA
CUST1373,C17AF08A,2025-02-02,140.82,shipped,debit_card,,DL
CUST1919,A0A04DC4,2025-01-16,344.94,shipped,net_banking,Bangalore,KA
CUST0147,98AE4334,2025-02-07,308.47,shipped,net_banking,Indore,WB
CUST0351,FF01CF99,2025-01-19,271.73,returned,UPI,Hyderabad,KA
CUST0502,8DA0365B,2025-04-07,90.07,shipped,debit_card,Lucknow,TN
CUST0778,B88139B9,2025-06-23,142.27,shipped,UPI,Indore,RJ
